location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita
Afghanistan,Asia,41128772,64.83,0.5,1803.99
Africa,,1426736614,,,
Albania,Europe,2842318,78.57,2.89,11803.43
Algeria,Africa,44903228,76.88,1.9,13913.84
American Samoa,Oceania,44295,73.74,,
Andorra,Europe,79843,83.73,,
Angola,Africa,35588996,61.15,,5819.5
Anguilla,North America,15877,81.88,,
Antigua and Barbuda,North America,93772,77.02,3.8,21490.94
Argentina,South America,45510324,76.67,5.0,18933.91
Armenia,Asia,2780472,75.09,4.2,8787.58
Aruba,North America,106459,76.29,,35973.78
Asia,,4721383370,,,
Australia,Oceania,26177410,83.44,3.84,44648.71
Austria,Europe,8939617,81.54,7.37,45436.69
Azerbaijan,Asia,10358078,73.0,4.7,15847.42
Bahamas,North America,409989,73.92,2.9,27717.85
Bahrain,Asia,1472237,77.29,2.0,43290.7
Bangladesh,Asia,171186368,72.59,0.8,3523.98
Barbados,North America,281646,79.19,5.8,16978.07
Belarus,Europe,9534956,74.79,11.0,17167.97
Belgium,Europe,11655923,81.63,5.64,42658.58
Belize,North America,405285,74.62,1.3,7824.36
Benin,Africa,13352864,61.77,0.5,2064.24
Bermuda,North America,64207,82.59,,50669.32
Bhutan,Asia,782457,71.78,1.7,8708.6
Bolivia,South America,12224114,71.51,1.1,6885.83
Bonaire Sint Eustatius and Saba,North America,27052,77.79,,
Bosnia and Herzegovina,Europe,3233530,77.4,3.5,11713.9
Botswana,Africa,2630300,69.59,1.8,15807.37
Brazil,South America,215313504,75.88,2.2,14103.45
British Virgin Islands,North America,31332,79.07,,
Brunei,Asia,449002,75.86,2.7,71809.25
Bulgaria,Europe,6781955,75.05,7.45,18563.31
Burkina Faso,Africa,22673764,61.58,0.4,1703.1
Burundi,Africa,12889583,61.58,0.8,702.22
Cambodia,Asia,16767851,69.82,0.8,3645.07
Cameroon,Africa,27914542,59.29,1.3,3364.93
Canada,North America,38454328,82.43,2.5,44017.59
Cape Verde,Africa,593162,72.98,2.1,6222.55
Cayman Islands,North America,68722,83.92,,49903.03
Central African Republic,Africa,5579148,53.28,1.0,661.24
Chad,Africa,17723312,54.24,,1768.15
Chile,South America,19603736,80.18,2.11,22767.04
China,Asia,1425887360,76.91,4.34,15308.71
Colombia,South America,51874028,77.29,1.71,13254.95
Comoros,Africa,836783,64.32,2.2,1413.89
Congo,Africa,5970430,64.57,,4881.41
Cook Islands,Oceania,17032,76.25,,
Costa Rica,North America,5180836,80.28,1.13,15525.0
Cote d'Ivoire,Africa,28160548,57.78,,3601.01
Croatia,Europe,4030361,78.49,5.54,22669.8
Cuba,North America,11212198,78.8,5.2,
Curacao,North America,191173,78.88,,
Cyprus,Europe,896007,80.98,3.4,32415.13
Czechia,Europe,10493990,79.38,6.63,32605.91
Democratic Republic of Congo,Africa,99010216,60.68,,808.13
Denmark,Europe,5882259,80.9,2.5,46682.52
Djibouti,Africa,1120851,67.11,1.4,2705.41
Dominica,North America,72758,75.0,3.8,9673.37
Dominican Republic,North America,11228821,74.08,1.6,14600.86
East Timor,Asia,1341298,69.5,5.9,6570.1
Ecuador,South America,18001002,77.01,1.5,10581.94
Egypt,Africa,110990096,71.99,1.6,10550.21
El Salvador,North America,6336393,73.32,1.3,7292.46
England,Europe,56550000,,,
